Target City,Total Weight (Tons)
43 00 N 005 40 E,408.0
43 00 N 006 20 E,213.0
43 20 N 004 20 E,9.0
43 20 N 004 40 E,9.0
43 20 N 006 00 E,72.0
43 20 N 006 20 E,30.0
43 20 N 006 40 E,6.0
43 40 N 004 40 E,72.0
44 00 N 000,9.0
44 00 N 000 40 E,68.0
44 00 N 001 00 E,3.0
44 00 N 002 00 E,84.0
44 20 N 006 20 E,70.0
44 40 N 006 20 E,410.0
45 00 N 003 20 E,18.0
45 20 N 007 40 E,21.0
45 20 N 010 20 E,46.0
45 40 N 005 20 E,72.0
45 40 N 006 20 E,144.0
45 40 N 010 40 E,63.0
45 40 N 013 00 E,54.0
46 00 N 010 40 E,6.0
46 00 N 011 00 E,20.0
46 20 N 001 00 E,20.0
47 00 N 000 40 W,24.0
47 00 N 004 40 E,24.0
48 00 N 005 20 E,84.0
48 15 N 008 00 E,840.0
48 20 N 000 20 E,51.0
48 20 N 000 40 W,168.0
48 20 N 005 00 E,147.0
48 20 N 005 20 E,318.0
49 00 N 003 40 E,75.0
49 00 N 006 20 E,99.0
49 20 N 003 20 E,216.0
49 20 N 003 40 E,15.0
49 20 N 006 00 E,258.0
49 40 N 001 20 E,9.0
ABANCOURT,18.0
ABBEVILLE,3897.0
ACHERES,1707.0
ACHIET,704.0
ACQUET,530.0
AGAY,42.0
AGENVILLE,383.0
AIGREMONT,126.0
AILLY LE HAUT CLOCH,64.0
AILLY LE HAUT CLOCHE,863.0
AIRE,163.0
AIRE SUR LA LYS,319.0
ALBERSCHWEILER,70.0
ALENCON,417.0
ALMENECHES,81.0
AMBERIEU,102.0
AMBES,40.0
AMBLETEUSE,726.0
AMBRIERES,540.0
AMIENS,4147.0
ANDRES,167.0
ANDRESSELLES,156.0
ANGERS,1724.0
ANGOULEME,394.0
ANIZY LE CHATEAU,477.0
ANNECY,306.0
ANSE,36.0
ANTHEOR,1234.0
ANVERS SUR OISE,72.0
APPEVILLE,82.0
ARAD,23.0
ARAMON,147.0
ARDOUVAL,442.0
ARDRES,93.0
ARGENTAN,1773.0
ARLES,499.0
ARMENTIERES,191.0
ARQUES,10.0
ARQUES LA BATAILLE,65.0
ARRAS,646.0
ARROMANCHES,1098.0
ASNELLES SUR MER,288.0
ATHIES,171.0
AU FEVRE,505.0
AUBE SUR RISLE,90.0
AUBERGENVILLE,24.0
AUBIGNE RACAN,306.0
AUBIGNY,18.0
AUCHEL,156.0
AUDERVILLE,420.0
AUDINGHEM,899.0
AUDINGTHUN,308.0
AULNOIS,64.0
AULNOYE,3665.0
AULT,865.0
AUNAY,1515.0
AUTHEUX,263.0
AUTHIE,504.0
AUXERRE,174.0
AUXI LE CHATEAU,16.0
AVESNES,207.0
AVIGNON,2319.0
AVORD,2577.0
AVRANCHES,361.0
AZEVILLE,120.0
BACHIMONT,607.0
BAGNOLES DE L ORNE,129.0
BALARUC LES BAINS,276.0
BALLEROY,92.0
BAMIERES,647.0
BARENTIN,22.0
BARFLEUR,921.0
BARISIS,210.0
BARLIN,24.0
BARQUES,165.0
BASSENS,495.0
BAULON,36.0
BAYE DE LA SEINE,1404.0
BAYEUX,96.0
BAYON,36.0
BDIS DE LA JUSTICE,162.0
BEAU GUILLOT,52.0
BEAUGENCY,192.0
BEAUM0NT SUR OISE,1426.0
BEAUMDNT LE ROGER,2840.0
BEAUMETZ,615.0
BEAUMONT LE HARENG,122.0
BEAUMONT LE ROGER,467.0
BEAUMONT SUR OISE,354.0
BEAUMONTEL,2.0
BEAUTOR,114.0
BEAUVAIS,3704.0
BEAUVOIR,3630.0
BEC D AMBES,453.0
BEHEN,884.0
BEINTQUES,431.0
BELFORT,753.0
BELLE CROIS LES BRUY,93.0
BELLE CROIX,90.0
BELLEVUE,438.0
BELLEY,1105.0
BELMESNIL,186.0
BENAT CAP,141.0
BENERVILLE,1297.0
BENNECOURT,22.0
BERCK SUR MER,4480.0
BERGERAC,356.0
BERGUENEUSE,303.0
BERNAY,802.0
BERNEVAL LE GRAND,1084.0
BERTREVILLE,672.0
BESIERS,378.0
BETHUNE,456.0
BEUVRY,198.0
BIARRITZ,240.0
BIENNAIS,144.0
BIENTQUES,74.0
BITCHE,254.0
BLAINVILLE,854.0
BLANC MISSERON,314.0
